"Manage Labels Reports","Gerenciar Relatórios de Etiquetas"
"Manage Labels Ranges","Gerenciar Intervalos de Etiquetas"
"Manage Labels Children","Gerenciar Objetos de Etiquetas"
"Reports Manager","Gerenciador de Relatórios de Etiquetas"
"Reset Filter","Desfazer Filtro"
"Search","Pesquisar"
"Actions","Ações"
"Submit","Submeter"
"Generate Report","Gerar Relatório"
"Change Status","Alterar Status"
"Carriers","Transportadoras"
"Order ID","ID do Pedido"
"Order Increment ID","ID Ext. do Pedido"
"Order Grand Total","Grande Total do Pedido"
"Order Shipping Postcode","CEP de Entrega do Pedido"
"Label Carrier Description","Descrição da Transportadora da Etiqueta"
"Label Tracking Code","Código de Rastreio da Etiqueta"
"All orders shipments were created successfully.","Todos as entregas dos pedidos foram criadas com sucesso."
"Ranges Manager","Gerenciador de Intervalos de Etiquetas"
"Generate Children","Gerar Objetos"
"Carrier Name","Nome da Transportadora"
"Prefix","Prefixo"
"Suffix","Sufixo"
"Begin Code","Código Inicial"
"End Code","Código Final"
"Alarm","Alarme"
"Children Manager","Gerenciador de Objetos de Etiquetas"
"Add New Item","Adicionar Novo Item"
"Range ID","ID do Intervalo"
"Carrier ID","ID da Transportadora"
"Code","Código"
"Enabled","Ativo"
"Available","Disponível"
"Yes","Sim"
"No","Não"
"All children were successfully generated.","Todos os objetos foram gerados com sucesso."
"Labels","Etiquetas"
"Default Settings","Ajustes Padrão"
"Active","Ativo"
"Company Logo","Logotipo da Empresa"
"Correios Logo","Logotipo dos Correios"
"Client Name","Nome do Cliente"
"Barcode URL","URL para Código de Barras"
"Tracking URL","URL para Rastreio"
"Sedex Settings","Ajustes do Sedex"
"Contract Number","Número do Contrato"
"Card Number","Número do Cartão"
"Unit Code","Código da Unidade"
"Unit Name","Unidade de Postagem"
"e-Sedex Settings","Ajustes do e-Sedex"
"PAC Settings","Ajustes do PAC"
"Express Delivery Settings","Ajustes da Entrega Expressa"
"Gamuza Labels Section","Seção de Etiquetas Gamuza"
"Service Code","Código do Serviço"
"Label","Etiqueta"
"All ranges were successfully delete.","Todos os intervalos foram excluídos com sucesso."
"Delete","Excluir"
"All children were successfully delete.","Todos os objetos foram excluídos com sucesso."
"Street","Rua"
"Postcode","CEP"
"City, Region and Country","Cidade, Estado e País"
"Carrier","Transportadora"
"Customer Shipping Address Information","Informação do Endereço de Entrega do Cliente"
"Choose a Carrier and generate a new label","Escolha uma transportadora e crie uma nova etiqueta"
"Price","Preço"
"Generate","Gerar"
"Please select a carrier before.","Por favor, selecione uma transportadora."
"There are no label child to use with selected carrier.","Não há objetos de etiquetas disponíveis para essa transportadora."
"Sender","Remetente"
"Express Delivery","Entrega Expressa"
"Generate Shipments","Gerar Entregas"
"Your order has been delivered.","Seu pedido foi enviado."
"Automatically shipped by Gamuza Labels.","Entrega gerada automaticamente pelo sistema de etiquetas da Gamuza."
"Order %d is not invoiced.", "O pedido %d não está faturado."
"Order %d has already shipment.","O pedido %d já tem entrega."
"Plus Settings","Ajustes do Plus"
"Retire Settings","Ajustes do Cliente Retira"
